Resumo,Chave da ocorrência,ID da ocorrência,Tipo de Item,Situação,Chave do projeto,Nome do projeto,Tipo de projeto,Líder do projeto,Descrição do projeto,URL do projeto,Prioridade,Resolução,Responsável,Solicitante,Criador,Criado,Atualizado,Última visualização,Resolvido,Versões Corrigidas,Data para Ficar Pronto,Votos,Rótulos,Descrição,Ambiente,Acompanhadores,Acompanhadores,Acompanhadores,Acompanhadores,Acompanhadores,Acompanhadores,Tempo Estimado,Tempo Restante,Tempo Gasto,Razão Trabalhada,Σ da Estimativa Original,Σ da Estimativa Restante,Σ Tempo Gasto,Nível de Segurança,Link externo de ocorrência (Blocks),Anexos,Anexos,Campo personalizado (Development),Campo personalizado (Epic Colour),Campo personalizado (Epic Link),Campo personalizado (Epic Name),Campo personalizado (Epic Status),Campo personalizado (Gerada(s) durante),Campo personalizado (Rank),Sprint,Sprint,Sprint,Sprint,points,Campo personalizado (Test sessions),Campo personalizado (Testing status),Campo personalizado ([CHART] Date of First Response),Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário,Comentário
Separar branch para versão v1.2,ERP-535,10740,Integração,Para Fazer,ERP,Bevicred ERP,software,admin,,,Medium,,admin,admin,admin,18/abr/18 8:28 AM,18/abr/18 8:31 AM,19/abr/18 8:24 AM,,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,,,{},,ERP-536,,,,0|i00337:,Sprint 11,,,,1.0,,,,,,,,,,,,,,,,,,,
Subir versão v1.2.0 em ambiente de produção,ERP-526,10731,Integração,Para Fazer,ERP,Bevicred ERP,software,admin,,,Medium,,admin,admin,admin,18/abr/18 8:19 AM,18/abr/18 8:31 AM,18/abr/18 8:31 AM,,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,,,{},,ERP-536,,,,0|i0032z:,Sprint 11,,,,2.0,,,,,,,,,,,,,,,,,,,
Fazer merge e tag da versão v1.2.0,ERP-524,10729,Integração,Para Fazer,ERP,Bevicred ERP,software,admin,,,Medium,,admin,admin,admin,18/abr/18 8:18 AM,18/abr/18 8:31 AM,18/abr/18 8:31 AM,,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,,,{},,ERP-536,,,,0|i0032r:,Sprint 11,,,,1.0,,,,,,,,,,,,,,,,,,,
Criar servidor de produção para hospedagem da versão v1.2.0,ERP-523,10728,Integração,Para Fazer,ERP,Bevicred ERP,software,admin,,,Medium,,admin,admin,admin,18/abr/18 8:17 AM,18/abr/18 8:31 AM,18/abr/18 8:31 AM,,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,,,{},,ERP-536,,,,0|i0032j:,Sprint 11,,,,3.0,,,,,,,,,,,,,,,,,,,
Executar testes gerais no ambiente de homologação,ERP-534,10739,Integração,Para Fazer,ERP,Bevicred ERP,software,admin,,,Medium,,walmir.carvalho,admin,admin,18/abr/18 8:26 AM,18/abr/18 8:31 AM,18/abr/18 8:31 AM,,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,,,{},,ERP-536,,,,0|i0032i:z,Sprint 11,,,,8.0,,,,,,,,,,,,,,,,,,,
Executar testes gerais no ambiente de homologação,ERP-533,10738,Integração,Para Fazer,ERP,Bevicred ERP,software,admin,,,Medium,,rafael.franco,admin,admin,18/abr/18 8:22 AM,18/abr/18 8:31 AM,18/abr/18 8:31 AM,,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,,,{},,ERP-536,,,,0|i0032i:y,Sprint 11,,,,8.0,,,,,,,,,,,,,,,,,,,
Executar testes gerais no ambiente de homologação,ERP-532,10737,Integração,Para Fazer,ERP,Bevicred ERP,software,admin,,,Medium,,priscila.alves,admin,admin,18/abr/18 8:21 AM,18/abr/18 8:31 AM,18/abr/18 8:31 AM,,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,,,{},,ERP-536,,,,0|i0032i:x,Sprint 11,,,,8.0,,,,,,,,,,,,,,,,,,,
Executar testes gerais no ambiente de homologação,ERP-531,10736,Integração,Para Fazer,ERP,Bevicred ERP,software,admin,,,Medium,,elson.pedro,admin,admin,18/abr/18 8:21 AM,18/abr/18 8:31 AM,18/abr/18 8:31 AM,,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,,,{},,ERP-536,,,,0|i0032i:v,Sprint 11,,,,8.0,,,,,,,,,,,,,,,,,,,
Executar testes gerais no ambiente de homologação,ERP-530,10735,Integração,Para Fazer,ERP,Bevicred ERP,software,admin,,,Medium,,alessandro.navarro,admin,admin,18/abr/18 8:21 AM,18/abr/18 8:30 AM,18/abr/18 8:30 AM,,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,,,{},,ERP-536,,,,0|i0032i:r,Sprint 11,,,,8.0,,,,,,,,,,,,,,,,,,,
Executar testes gerais no ambiente de homologação,ERP-529,10734,Integração,Para Fazer,ERP,Bevicred ERP,software,admin,,,Medium,,adriel.oliveira,admin,admin,18/abr/18 8:21 AM,18/abr/18 8:30 AM,18/abr/18 8:30 AM,,v1.2.0,,0,,,,admin,,,,,,,,,,,,,,,,,{},,ERP-536,,,,0|i0032i:i,Sprint 11,,,,8.0,,,,,,,,,,,,,,,,,,,
